tof,no_tof,tariff
70.14899999999999,298.9999999999995,0.1176
71.98200000000003,300.0369999999999,0.1176
74.59900000000005,308.05600000000015,0.1176
77.07,328.00599999999946,0.1176
85.67600000000003,362.96499999999924,0.1176
100.63699999999993,446.4849999999986,0.1176
128.32100000000008,530.7869999999995,0.1176
154.03700000000003,595.7360000000012,0.1176
167.0499999999999,656.5210000000006,0.1176
173.53300000000004,687.6660000000008,0.1176
174.84700000000007,683.6989999999986,0.1176
164.78900000000007,653.6489999999991,0.1176
172.42600000000004,667.670999999998,0.1176
172.81200000000007,658.6950000000004,0.1176
169.73299999999978,651.5779999999992,0.1176
167.26599999999996,685.7290000000004,0.1176
170.83200000000005,653.9800000000009,0.1176
170.42499999999987,665.3110000000003,0.1176
179.85599999999985,662.775,0.1176
187.4019999999999,663.167999999999,0.1176
181.92399999999992,649.8830000000004,0.1176
169.573,659.3269999999999,0.1176
169.78999999999994,647.0459999999995,0.1176
169.49600000000015,671.844,0.1176
192.675,727.132,0.1176
209.53999999999974,819.9600000000003,0.1176
238.57299999999984,922.8800000000007,0.1176
264.5380000000001,994.8390000000015,0.1176
265.5189999999998,1033.8350000000005,0.1176
283.2140000000002,1124.301000000002,0.1176
293.6620000000001,1145.1599999999974,0.1176
283.28499999999985,1120.102999999996,0.1176
272.5230000000002,1085.4080000000024,0.1176
269.55499999999984,1037.7499999999989,0.1176
252.85500000000013,1006.0199999999985,0.1176
241.29700000000008,971.5249999999999,0.1176
228.9860000000001,905.961999999999,0.1176
220.31800000000024,849.9500000000012,0.1176
197.11700000000022,741.2280000000002,0.1176
150.39200000000002,628.0869999999986,0.672
121.93399999999988,537.6899999999991,0.672
107.90300000000006,461.5930000000008,0.672
93.05100000000016,401.46799999999973,0.672
83.585,363.63800000000003,0.672
78.39000000000004,333.0069999999996,0.672
75.15099999999994,316.8249999999997,0.1176
75.92700000000008,301.5629999999996,0.1176
72.89800000000001,298.6879999999992,0.1176
70.53900000000004,300.1089999999999,0.1176
70.32000000000004,300.07999999999964,0.1176
76.68999999999991,301.5849999999997,0.1176
81.44800000000005,326.10400000000004,0.1176
91.44399999999999,359.2979999999998,0.1176
106.13100000000016,441.52799999999957,0.1176
131.49099999999999,546.3310000000014,0.1176
154.30399999999997,633.1730000000007,0.1176
176.17299999999977,705.3619999999995,0.1176
182.95200000000014,697.7009999999995,0.1176
166.0959999999998,642.7749999999992,0.1176
166.89200000000014,630.4300000000002,0.1176
154.35099999999986,601.2029999999988,0.1176
152.76800000000034,601.5050000000003,0.1176
150.17500000000004,582.646,0.1176
135.7590000000001,574.0539999999996,0.1176
142.72199999999995,575.7590000000004,0.1176
143.71,587.0859999999998,0.1176
152.5529999999999,595.2350000000002,0.1176
156.05099999999993,594.4719999999995,0.1176
154.1460000000001,593.3359999999994,0.1176
158.14499999999998,590.0989999999993,0.1176
160.3810000000001,597.2690000000019,0.1176
166.29900000000004,601.864,0.1176
178.5919999999999,642.4029999999989,0.1176
208.05599999999993,767.5489999999993,0.1176
235.47799999999987,889.788999999999,0.1176
258.25599999999974,982.7340000000004,0.1176
264.20899999999995,1019.9720000000008,0.1176
280.9639999999997,1068.7400000000023,0.1176
277.8020000000002,1077.7070000000003,0.1176
277.68899999999985,1069.6909999999991,0.1176
264.9280000000001,1032.3850000000018,0.1176
253.55199999999977,1014.7610000000005,0.1176
238.98299999999998,975.5870000000001,0.1176
239.21299999999974,939.4390000000021,0.1176
224.98099999999988,887.199,0.1176
214.46099999999996,823.2179999999997,0.1176
189.83200000000025,731.3500000000003,0.1176
166.13299999999987,620.4520000000014,0.1176
136.5169999999998,529.4960000000003,0.1176
112.95199999999994,447.3480000000005,0.1176
102.74499999999999,396.60900000000026,0.1176
88.26300000000016,360.5869999999994,0.1176
82.66600000000001,341.0839999999998,0.1176
77.83700000000002,319.049,0.1176
73.74300000000008,311.3770000000001,0.1176
75.53900000000009,301.14300000000003,0.1176
74.694,297.6499999999995,0.1176
71.40400000000005,301.7400000000003,0.1176
75.24699999999991,309.2630000000003,0.1176
80.60700000000001,332.06099999999907,0.1176
87.43000000000002,376.5609999999998,0.1176
102.94600000000004,445.55499999999944,0.1176
127.5169999999999,526.5879999999996,0.1176
157.6479999999998,648.9090000000001,0.1176
177.94999999999996,708.528,0.1176
178.31299999999985,713.9680000000005,0.1176
174.55399999999992,665.3620000000002,0.1176
169.49699999999987,640.9350000000011,0.1176
166.88199999999992,663.4239999999987,0.1176
163.32100000000003,625.2750000000011,0.1176
161.2670000000001,604.7449999999995,0.1176
155.48200000000026,610.940000000001,0.1176
156.31400000000014,592.0550000000001,0.1176
147.7870000000001,598.0809999999993,0.1176
147.02000000000012,614.778999999999,0.1176
154.39200000000022,598.8839999999991,0.1176
150.126,576.5850000000004,0.1176
150.68400000000005,586.0330000000018,0.1176
151.19199999999995,572.945,0.1176
154.89999999999992,579.8639999999987,0.1176
166.669,615.6109999999999,0.1176
183.79100000000014,747.5869999999986,0.1176
218.9379999999997,879.5180000000004,0.1176
256.2310000000002,973.9060000000004,0.1176
271.7810000000001,1022.0969999999988,0.1176
279.88399999999973,1110.4419999999996,0.1176
288.03299999999984,1105.905999999998,0.1176
282.0599999999999,1082.212000000001,0.1176
279.1100000000001,1057.7139999999995,0.1176
263.339,1040.4769999999999,0.1176
254.3479999999998,1012.8899999999993,0.1176
235.39899999999992,960.653,0.1176
227.923,896.3750000000007,0.1176
218.13100000000026,852.5959999999997,0.1176
194.79799999999994,762.6050000000004,0.1176
163.58799999999977,648.0040000000014,0.1176
135.0260000000001,551.4119999999987,0.1176
115.85000000000001,481.3639999999989,0.1176
101.11000000000003,411.70399999999916,0.1176
91.58100000000005,373.5809999999992,0.1176
87.25800000000002,352.00100000000026,0.1176
92.7680000000001,337.64499999999896,0.0399
93.75800000000014,322.38199999999944,0.0399
89.87800000000003,313.0559999999995,0.0399
83.69600000000004,306.13000000000017,0.0399
84.18600000000016,311.08500000000004,0.0399
85.47800000000016,317.4410000000001,0.0399
90.508,345.2100000000003,0.1176
93.60900000000002,381.22499999999957,0.1176
